URI,label,split
id52_0005.mp4,REAL,train
id45_0005.mp4,REAL,train
id31_0008.mp4,REAL,train
id59_0000.mp4,REAL,train
id6_0003.mp4,REAL,train
id32_0007.mp4,REAL,train
id31_0009.mp4,REAL,train
id13_0012.mp4,REAL,train
id11_0008.mp4,REAL,train
id7_0006.mp4,REAL,train
id28_0008.mp4,REAL,train
id43_0002.mp4,REAL,train
id27_0002.mp4,REAL,train
id4_0006.mp4,REAL,train
id10_0000.mp4,REAL,train
id24_0000.mp4,REAL,train
id46_0002.mp4,REAL,train
id42_0000.mp4,REAL,train
id13_0004.mp4,REAL,train
id7_0009.mp4,REAL,train
id57_0002.mp4,REAL,train
id10_0008.mp4,REAL,train
id60_0001.mp4,REAL,train
id53_0000.mp4,REAL,train
id24_0008.mp4,REAL,train
id54_0000.mp4,REAL,train
id57_0001.mp4,REAL,train
id17_0001.mp4,REAL,train
id11_0009.mp4,REAL,train
id58_0005.mp4,REAL,train
id41_0005.mp4,REAL,train
id60_0008.mp4,REAL,train
id2_0007.mp4,REAL,train
id13_0008.mp4,REAL,train
id34_0002.mp4,REAL,train
id36_0003.mp4,REAL,train
id56_0008.mp4,REAL,train
id5_0000.mp4,REAL,train
id20_0007.mp4,REAL,train
id21_0009.mp4,REAL,train
id56_0004.mp4,REAL,train
id26_0000.mp4,REAL,train
id46_0004.mp4,REAL,train
id44_0005.mp4,REAL,train
id35_0001.mp4,REAL,train
id54_0009.mp4,REAL,train
id16_0010.mp4,REAL,train
id53_0008.mp4,REAL,train
id34_0003.mp4,REAL,train
id58_0007.mp4,REAL,train
id38_0006.mp4,REAL,train
id19_0007.mp4,REAL,train
id40_0008.mp4,REAL,train
id53_0007.mp4,REAL,train
id32_0003.mp4,REAL,train
id40_0002.mp4,REAL,train
id39_0004.mp4,REAL,train
id10_0003.mp4,REAL,train
id4_0007.mp4,REAL,train
id33_0001.mp4,REAL,train
id19_0005.mp4,REAL,train
id0_0006.mp4,REAL,train
id43_0008.mp4,REAL,train
id23_0005.mp4,REAL,train
id29_0006.mp4,REAL,train
id2_0006.mp4,REAL,train
id29_0000.mp4,REAL,train
id48_0003.mp4,REAL,train
id59_0002.mp4,REAL,train
id40_0006.mp4,REAL,train
id6_0007.mp4,REAL,train
id47_0006.mp4,REAL,train
id12_0002.mp4,REAL,train
id57_0006.mp4,REAL,train
id45_0000.mp4,REAL,train
id9_0009.mp4,REAL,train
id2_0009.mp4,REAL,train
id45_0004.mp4,REAL,train
id9_0004.mp4,REAL,train
id19_0003.mp4,REAL,train
id46_0008.mp4,REAL,train
id11_0000.mp4,REAL,train
id11_0004.mp4,REAL,train
id21_0008.mp4,REAL,train
id28_0001.mp4,REAL,train
id33_0004.mp4,REAL,train
id34_0005.mp4,REAL,train
id35_0005.mp4,REAL,train
id36_0004.mp4,REAL,train
id33_0007.mp4,REAL,train
id4_0005.mp4,REAL,train
id36_0009.mp4,REAL,train
id36_0000.mp4,REAL,train
id39_0000.mp4,REAL,train
id43_0001.mp4,REAL,train
id46_0003.mp4,REAL,train
id29_0002.mp4,REAL,train
id30_0005.mp4,REAL,train
id4_0008.mp4,REAL,train
id39_0003.mp4,REAL,train
id32_0004.mp4,REAL,train
id9_0001.mp4,REAL,train
id53_0004.mp4,REAL,train
id31_0004.mp4,REAL,train
id46_0009.mp4,REAL,train
id52_0008.mp4,REAL,train
id20_0002.mp4,REAL,train
id1_0005.mp4,REAL,train
id32_0001.mp4,REAL,train
id47_0004.mp4,REAL,train
id57_0009.mp4,REAL,train
id7_0000.mp4,REAL,train
id2_0002.mp4,REAL,train
id16_0000.mp4,REAL,train
id22_0001.mp4,REAL,train
id2_0005.mp4,REAL,train
id32_0005.mp4,REAL,train
id7_0008.mp4,REAL,train
id21_0006.mp4,REAL,train
id61_0003.mp4,REAL,train
id24_0009.mp4,REAL,train
id60_0000.mp4,REAL,train
id42_0001.mp4,REAL,train
id61_0008.mp4,REAL,train
id12_0001.mp4,REAL,train
id59_0006.mp4,REAL,train
id27_0003.mp4,REAL,train
id35_0002.mp4,REAL,train
id58_0008.mp4,REAL,train
id6_0002.mp4,REAL,train
id33_0008.mp4,REAL,train
id4_0009.mp4,REAL,train
id52_0006.mp4,REAL,train
id52_0007.mp4,REAL,train
id3_0008.mp4,REAL,train
id16_0003.mp4,REAL,train
id22_0008.mp4,REAL,train
id36_0002.mp4,REAL,train
id22_0004.mp4,REAL,train
id28_0002.mp4,REAL,train
id38_0009.mp4,REAL,train
id41_0002.mp4,REAL,train
id19_0008.mp4,REAL,train
id50_0004.mp4,REAL,train
id5_0008.mp4,REAL,train
id48_0002.mp4,REAL,train
id34_0004.mp4,REAL,train
id29_0008.mp4,REAL,train
id17_0004.mp4,REAL,train
id47_0009.mp4,REAL,train
id3_0005.mp4,REAL,train
id58_0002.mp4,REAL,train
id22_0009.mp4,REAL,train
id47_0007.mp4,REAL,train
id31_0002.mp4,REAL,train
id45_0009.mp4,REAL,train
id11_0005.mp4,REAL,train
id38_0004.mp4,REAL,train
id53_0005.mp4,REAL,train
id32_0006.mp4,REAL,train
id37_0006.mp4,REAL,train
id3_0007.mp4,REAL,train
id28_0005.mp4,REAL,train
id23_0007.mp4,REAL,train
id31_0001.mp4,REAL,train
id61_0005.mp4,REAL,train
id34_0000.mp4,REAL,train
id13_0001.mp4,REAL,train
id41_0000.mp4,REAL,train
id22_0007.mp4,REAL,train
id55_0008.mp4,REAL,train
id6_0009.mp4,REAL,train
id25_0002.mp4,REAL,train
id8_0004.mp4,REAL,train
id3_0003.mp4,REAL,train
id59_0008.mp4,REAL,train
id7_0004.mp4,REAL,train
id29_0005.mp4,REAL,train
id21_0002.mp4,REAL,train
id9_0005.mp4,REAL,train
id49_0008.mp4,REAL,train
id33_0000.mp4,REAL,train
id28_0000.mp4,REAL,train
id56_0009.mp4,REAL,train
id23_0004.mp4,REAL,train
id0_0008.mp4,REAL,train
id41_0003.mp4,REAL,train
id16_0011.mp4,REAL,train
id8_0000.mp4,REAL,train
id12_0004.mp4,REAL,train
id2_0003.mp4,REAL,train
id22_0006.mp4,REAL,train
